id,description,recipe_id,measure,parsedName,quantity,cleanDescription,,Store Section
22,"1 cup canned garbanzo beans (chickpeas), drained",1851,cup,garbanzo beans (chickpeas),1,"1 cup canned garbanzo beans (chickpeas), drained",,Dry Goods
23,"1  tomato, chopped",1851,,,,"1  tomato, chopped",,Produce
24,"1 clove garlic, minced",1851,clove,garlic,1,"1 clove garlic, minced",,Produce
25,3 tablespoons lime juice,1851,tablespoon,lime juice,3,3 tablespoons lime juice,,Produce
26,4 teaspoons olive oil,1851,teaspoon,olive oil,4,4 teaspoons olive oil,,Oils
27,½ teaspoon ground cumin,1851,teaspoon,cumin,2-Jan,1/2 teaspoon ground cumin,,Dry Goods
28,1 pinch salt and pepper to taste,1851,pinch,salt and pepper,1,1 pinch salt and pepper to taste,,Dry Goods
29,½ teaspoon chopped fresh parsley,1851,teaspoon,parsley,2-Jan,1/2 teaspoon chopped fresh parsley,,Produce
30,1 (16 ounce) package spaghetti,1822,package,spaghetti,1,1 (16 ounce) package spaghetti,,Dry Goods
31,3 tablespoons olive oil,1822,tablespoon,olive oil,3,3 tablespoons olive oil,,Oils
32,"2 large onions, finely chopped",1822,,onions,2,"2 large onions, finely chopped",,Produce
33,"2 large eggplants, cubed",1822,,eggplants,2,"2 large eggplants, cubed",,Produce
34,"1 clove garlic, pressed",1822,clove,garlic,1,"1 clove garlic, pressed",,Produce
35,2 (14.5 ounce) cans whole peeled tomatoes,1822,,(14.5 ounce) cans whole peeled tomatoes,2,2 (14.5 ounce) cans whole peeled tomatoes,,Dry Goods
36,1 tablespoon capers,1822,tablespoon,capers,1,1 tablespoon capers,,Dry Goods
37,coarse salt and ground black pepper to taste,1822,,salt black pepper,,coarse salt and ground black pepper to taste,,Dry Goods
38,3 tablespoons chopped fresh basil,1822,tablespoon,basil,3,3 tablespoons chopped fresh basil,,Produce
39,olive oil,3025,,olive oil,,olive oil,,Oils
40,"1 (12 ounce) package extra-firm tofu, cut into 1/4-inch thick slices",3025,,tofu,1,"1 (12 ounce) package extra-firm tofu, cut into 1/4-inch thick slices",,Refrigerator
41,"6 small carrots, peeled and sliced lengthwise",3025,,carrots,6,"6 small carrots, peeled and sliced lengthwise",,Produce
42,"½  yellow onion, sliced into rings",3025,,,,"1/2  yellow onion, sliced into rings",,Produce
43,salt and ground black pepper to taste,3025,,salt and black pepper,,salt and ground black pepper to taste,,Dry Goods
44,1 tablespoon maple syrup,3025,tablespoon,maple syrup,1,1 tablespoon maple syrup,,Dry Goods
45,1 (15 ounce) can chickpeas,3025,,can chickpeas,1,1 (15 ounce) can chickpeas,,Dry Goods
46,1 tablespoon lemon juice,3025,tablespoon,lemon juice,1,1 tablespoon lemon juice,,Refrigerator
47,¼ teaspoon sea salt,3025,teaspoon,sea salt,4-Jan,1/4 teaspoon sea salt,,Dry Goods
48,¼ teaspoon ground cumin,3025,teaspoon,cumin,4-Jan,1/4 teaspoon ground cumin,,Dry Goods
49,"1 large zucchini, sliced lengthwise",3025,,zucchini,1,"1 large zucchini, sliced lengthwise",,Produce
50,"12  grape tomatoes, halved lengthwise",3025,,,,"12  grape tomatoes, halved lengthwise",,Produce
51,2 tablespoons torn fresh basil leaves,3025,tablespoon,basil leaves,2,2 tablespoons torn fresh basil leaves,,Produce
52,"2 cloves garlic, peeled and crushed",219,clove,garlic,2,"2 cloves garlic, peeled and crushed",,Produce
53,2 tablespoons olive oil,219,tablespoon,olive oil,2,2 tablespoons olive oil,,Oils
54,"1 (15 ounce) can garbanzo beans, drained, liquid reserved",219,,can garbanzo beans,1,"1 (15 ounce) can garbanzo beans, drained, liquid reserved",,Dry Goods
55,1 tablespoon sesame seeds,219,tablespoon,sesame seeds,1,1 tablespoon sesame seeds,,Dry Goods
56,salt and pepper to taste,219,,salt and pepper,,salt and pepper to taste,,Dry Goods
57,1  banana,3165,,,,1  banana,,Produce
58,1 cup frozen diced watermelon,3165,cup,watermelon,1,1 cup frozen diced watermelon,,Freezer
59,½ cup frozen mango chunks,3165,cup,mango,2-Jan,1/2 cup frozen mango chunks,,Refrigerator
60,¼ cup frozen strawberries,3165,cup,strawberries,4-Jan,1/4 cup frozen strawberries,,Freezer
61,¼ cup almonds  (Optional),3165,,,,1/4 cup almonds  (Optional),,Dry Goods
62,"1 teaspoon hemp seeds, or to taste  (Optional)",3165,,,,"1 teaspoon hemp seeds, or to taste  (Optional)",,Dry Goods
63,"1 cup quinoa, rinsed and drained",1840,cup,quinoa,1,"1 cup quinoa, rinsed and drained",,Dry Goods
64,1 ¾ cups vegetable broth,1840,,,,1 3/4 cups vegetable broth,,Dry Goods
65,2 tablespoons vegetable oil,1840,tablespoon,vegetable oil,2,2 tablespoons vegetable oil,,Oils
66,"½  large onion, chopped",1840,,,,"1/2  large onion, chopped",,Produce
67,"3 cloves garlic, thinly sliced",1840,clove,garlic,3,"3 cloves garlic, thinly sliced",,Produce
68,"1  tomato, seeded and chopped",1840,,,,"1  tomato, seeded and chopped",,Produce
69,3 tablespoons annatto paste (achiote),1840,tablespoon,annatto paste,3,3 tablespoons annatto paste (achiote),,Dry Goods
70,2 tablespoons cider vinegar,1840,tablespoon,cider vinegar,2,2 tablespoons cider vinegar,,Oils
71,1 teaspoon smoked paprika,1840,teaspoon,smoked paprika,1,1 teaspoon smoked paprika,,Dry Goods
72,1 teaspoon dried oregano,1840,teaspoon,oregano,1,1 teaspoon dried oregano,,Dry Goods
73,½ teaspoon ground cumin,1840,teaspoon,cumin,2-Jan,1/2 teaspoon ground cumin,,Dry Goods
74,1  dried chipotle chile pepper,1840,,,,1  dried chipotle chile pepper,,Dry Goods
75,"kosher salt, to taste",1840,,kosher salt,,"kosher salt, to taste",,Dry Goods
76,"1 (16 ounce) package firm tofu, cubed",2777,,(16 ounce) package firm tofu,1,"1 (16 ounce) package firm tofu, cubed",,Refrigerator
77,1 cup cored and quartered apples,2777,cup,apples,1,1 cup cored and quartered apples,,Produce
78,¼ cup soy sauce,2777,cup,soy sauce,4-Jan,1/4 cup soy sauce,,Dry Goods
79,¼ cup sesame oil,2777,cup,sesame oil,4-Jan,1/4 cup sesame oil,,Dry Goods
80,2 tablespoons maple syrup,2777,tablespoon,maple syrup,2,2 tablespoons maple syrup,,Dry Goods
81,2 tablespoons gochujang (Korean hot pepper paste),2777,tablespoon,gochujang,2,2 tablespoons gochujang (Korean hot pepper paste),,Dry Goods
82,1 tablespoon toasted sesame seeds,2777,tablespoon,sesame seeds,1,1 tablespoon toasted sesame seeds,,Dry Goods
83,"8  skewers, or as needed",2777,,,,"8  skewers, or as needed",,Household
84,"1  leek, cut into thick wedges",2777,,,,"1  leek, cut into thick wedges",,Produce
85,cooking spray,2777,,cooking spray,,cooking spray,,Baking Goods
86,1 cup nutritional yeast,2860,cup,nutritional yeast,1,1 cup nutritional yeast,,Dry Goods
87,1 cup sesame seeds,2860,cup,sesame seeds,1,1 cup sesame seeds,,Dry Goods
88,½ pound rotelle pasta,948,pound,rotelle pasta,2-Jan,1/2 pound rotelle pasta,,Dry Goods
89,"4  green onions, chopped",948,,,,"4  green onions, chopped",,Produce
90,1 cup chopped green bell pepper,948,cup,green bell pepper,1,1 cup chopped green bell pepper,,Produce
91,"1  jalapeno pepper, seeded and minced",948,,,,"1  jalapeno pepper, seeded and minced",,Produce
92,"2  tomatoes, chopped",948,,,,"2  tomatoes, chopped",,Produce
93,1  cucumber,948,,,,1  cucumber,,Produce
94,¼ cup olive oil,948,cup,olive oil,4-Jan,1/4 cup olive oil,,Oils
95,¼ teaspoon salt,948,teaspoon,salt,4-Jan,1/4 teaspoon salt,,Dry Goods
96,"1 clove garlic, crushed",948,clove,garlic,1,"1 clove garlic, crushed",,Produce
97,¼ cup fresh lime juice,948,cup,lime juice,4-Jan,1/4 cup fresh lime juice,,Refrigerator
98,¼ teaspoon ground black pepper,948,teaspoon,black pepper,4-Jan,1/4 teaspoon ground black pepper,,Dry Goods
99,6 fluid ounces tomato juice,948,ounce,tomato juice,6,6 fluid ounces tomato juice,,Produce
100,6  water,1272,,,,6  water,,Household
101,2 cups wheat berries,1272,cup,wheat berries,2,2 cups wheat berries,,Dry Goods
102,"½ teaspoon kosher salt, or to taste",1272,teaspoon,salt,2-Jan,"1/2 teaspoon kosher salt, or to taste",,Dry Goods
103,"1 quart sauerkraut, drained",2022,quart,sauerkraut,1,"1 quart sauerkraut, drained",,Refrigerator
104,"1  onion, chopped",2022,,,,"1  onion, chopped",,Produce
105,"2 stalks celery, chopped",2022,stalk,celery,2,"2 stalks celery, chopped",,Produce
106,"1  green bell pepper, chopped",2022,,,,"1  green bell pepper, chopped",,Produce
107,"1 large carrots, chopped",2022,,carrots,1,"1 large carrots, chopped",,Produce
108,"1 (4 ounce) jar diced pimento peppers, drained",2022,,pimento peppers,1,"1 (4 ounce) jar diced pimento peppers, drained",,Dry Goods
109,1 teaspoon mustard seed,2022,teaspoon,mustard seed,1,1 teaspoon mustard seed,,Dry Goods
110,1 ½ cups white sugar,2022,,,,1 1/2 cups white sugar,,Baking Goods
111,1 cup vegetable oil,2022,cup,vegetable oil,1,1 cup vegetable oil,,Oils
112,½ cup cider vinegar,2022,cup,cider vinegar,2-Jan,1/2 cup cider vinegar,,Oils
113,"1 cup fresh blackberries, or more to taste",6,cup,blackberries,1,"1 cup fresh blackberries, or more to taste",,Produce
114,"5 large strawberries, hulled and halved",6,,strawberries,5,"5 large strawberries, hulled and halved",,Produce
115,1 large banana,6,,banana,1,1 large banana,,Produce
116,⅓ cup orange juice,6,cup,orange juice,,1/3 cup orange juice,,Refrigerator
117,2 cups crushed ice,6,cup,ice,2,2 cups crushed ice,,Household
118,"1 teaspoon white sugar, or to taste  (Optional)",6,,,,"1 teaspoon white sugar, or to taste  (Optional)",,Baking Goods
119,12  fresh blackberries,6,,,,12  fresh blackberries,,Produce
120,"6  roma tomatoes, diced",905,,,,"6  roma tomatoes, diced",,Produce
121,"3  fresh jalapeno peppers, seeded and chopped",905,,,,"3  fresh jalapeno peppers, seeded and chopped",,Produce
122,"¼  red onion, chopped",905,,,,"1/4  red onion, chopped",,Produce
123,"3  green onions, chopped",905,,,,"3  green onions, chopped",,Produce
124,"2 cloves cloves garlic, crushed",905,clove,cloves garlic,2,"2 cloves cloves garlic, crushed",,Produce
125,2 tablespoons chopped fresh cilantro,905,tablespoon,cilantro,2,2 tablespoons chopped fresh cilantro,,Produce
126,2 tablespoons fresh lime juice,905,tablespoon,lime juice,2,2 tablespoons fresh lime juice,,Refrigerator
127,2 tablespoons fresh lemon juice,905,tablespoon,lemon juice,2,2 tablespoons fresh lemon juice,,Refrigerator
128,1 ½ teaspoons ground cumin,905,,,,1 1/2 teaspoons ground cumin,,Dry Goods
129,"1 small jicama, peeled and chopped",905,,jicama,1,"1 small jicama, peeled and chopped",,Produce
130,"1 (10 ounce) can diced tomatoes with green chilies, drained",905,,(10 ounce) can diced tomatoes with green chilies,1,"1 (10 ounce) can diced tomatoes with green chilies, drained",,Dry Goods
131,salt and ground black pepper to taste,905,,salt and black pepper,,salt and ground black pepper to taste,,Dry Goods
132,1 pinch salt,1865,pinch,salt,1,1 pinch salt,,Dry Goods
133,"⅓  bitter melon, seeded and cubed",1865,,,,"1/3  bitter melon, seeded and cubed",,Produce
134,"½  eggplant, cut into small cubes",1865,,,,"1/2  eggplant, cut into small cubes",,Produce
135,"½  onion, cut into small cubes",1865,,,,"1/2  onion, cut into small cubes",,Produce
136,"3 spears asparagus, cut into small cubes",1865,,asparagus,3,"3 spears asparagus, cut into small cubes",,Produce
137,"1 stalk celery, cut into small cubes",1865,stalk,celery,1,"1 stalk celery, cut into small cubes",,Produce
138,"⅓  red bell pepper, cut into small cubes",1865,,,,"1/3  red bell pepper, cut into small cubes",,Produce
139,"⅓  yellow bell pepper, cut into small cubes",1865,,,,"1/3  yellow bell pepper, cut into small cubes",,Produce
140,"1 clove garlic, minced",1865,clove,garlic,1,"1 clove garlic, minced",,Produce
141,1 (6.5 ounce) can tomato sauce,1865,,tomato sauce,1,1 (6.5 ounce) can tomato sauce,,Dry Goods
142,1 tablespoon olive oil,1865,tablespoon,olive oil,1,1 tablespoon olive oil,,Oils
143,¼ teaspoon dried basil,1865,teaspoon,basil,4-Jan,1/4 teaspoon dried basil,,Dry Goods
144,¼ teaspoon dried oregano,1865,teaspoon,oregano,4-Jan,1/4 teaspoon dried oregano,,Dry Goods
145,¼ teaspoon dried thyme,1865,teaspoon,thyme,4-Jan,1/4 teaspoon dried thyme,,Dry Goods
146,salt and ground black pepper to taste,1865,,salt and black pepper,,salt and ground black pepper to taste,,Dry Goods
147,"1 (12 ounce) package extra-firm tofu, drained",335,,tofu,1,"1 (12 ounce) package extra-firm tofu, drained",,Refrigerator
148,¼ cup cornstarch,335,cup,cornstarch,4-Jan,1/4 cup cornstarch,,Baking Goods
149,¼ cup all-purpose flour,335,cup,all-purpose flour,4-Jan,1/4 cup all-purpose flour,,Baking Goods
150,1 teaspoon vegetarian chicken-flavored bouillon granules,335,teaspoon,vegetarian chicken-flavored bouillon granules,1,1 teaspoon vegetarian chicken-flavored bouillon granules,,Dry Goods
151,½ teaspoon garlic powder,335,teaspoon,garlic powder,2-Jan,1/2 teaspoon garlic powder,,Dry Goods
152,½ teaspoon cayenne pepper,335,teaspoon,cayenne pepper,2-Jan,1/2 teaspoon cayenne pepper,,Dry Goods
153,½ cup unsweetened soy milk,335,cup,soy milk,2-Jan,1/2 cup unsweetened soy milk,,Refrigerator
154,2 tablespoons canola oil,335,tablespoon,canola oil,2,2 tablespoons canola oil,,Oils
155,½ cup cayenne pepper hot sauce  (Optional),335,,,,1/2 cup cayenne pepper hot sauce  (Optional),,Dry Goods
156,"⅓ cup margarine, melted",335,cup,margarine,,"1/3 cup margarine, melted",,Refrigerator
157,3 tablespoons olive oil,102,tablespoon,olive oil,3,3 tablespoons olive oil,,Dry Goods
158,"1 large onion, chopped",102,,onion,1,"1 large onion, chopped",,Produce
159,"1  green bell pepper, chopped",102,,,,"1  green bell pepper, chopped",,Produce
160,"1  red bell pepper, chopped",102,,,,"1  red bell pepper, chopped",,Produce
161,"4 cloves garlic, minced",102,clove,garlic,4,"4 cloves garlic, minced",,Produce
162,"1 (19 ounce) can black beans, rinsed and drained",102,,can black beans,1,"1 (19 ounce) can black beans, rinsed and drained",,Dry Goods
163,2 (28 ounce) cans diced tomatoes,102,,tomatoes,2,2 (28 ounce) cans diced tomatoes,,Dry Goods
164,2 cups water,102,cup,water,2,2 cups water,,Household
165,"1 (12 ounce) can whole kernel corn, drained",102,,,1,"1 (12 ounce) can whole kernel corn, drained",,Dry Goods
166,¼ cup dry red lentils,102,cup,dry red lentils,4-Jan,1/4 cup dry red lentils,,Dry Goods
167,¼ cup uncooked quinoa,102,cup,quinoa,4-Jan,1/4 cup uncooked quinoa,,Dry Goods
168,¼ cup chili powder,102,cup,chili powder,4-Jan,1/4 cup chili powder,,Dry Goods
169,¼ cup brown sugar,102,cup,brown sugar,4-Jan,1/4 cup brown sugar,,Dry Goods
170,1 tablespoon smoked paprika,102,tablespoon,smoked paprika,1,1 tablespoon smoked paprika,,Dry Goods
171,1 teaspoon kosher salt,102,teaspoon,salt,1,1 teaspoon kosher salt,,
172,1 teaspoon ground turmeric,102,teaspoon,turmeric,1,1 teaspoon ground turmeric,,
173,1 teaspoon dried oregano,102,teaspoon,oregano,1,1 teaspoon dried oregano,,
174,½ teaspoon ground cumin,102,teaspoon,cumin,2-Jan,1/2 teaspoon ground cumin,,
175,½ teaspoon red pepper flakes,102,teaspoon,red pepper flakes,2-Jan,1/2 teaspoon red pepper flakes,,
176,½ teaspoon cracked black pepper,102,teaspoon,black pepper,2-Jan,1/2 teaspoon cracked black pepper,,
177,3 teaspoons cornstarch,102,teaspoon,cornstarch,3,3 teaspoons cornstarch,,
178,"3 tablespoons water, or more as needed",102,tablespoon,water,3,"3 tablespoons water, or more as needed",,
179,1 ½ cups uncooked short-grain white rice,3125,,,,1 1/2 cups uncooked short-grain white rice,,
180,1 ½ cups water,3125,,,,1 1/2 cups water,,
181,⅓ cup red wine vinegar,3125,cup,red wine vinegar,,1/3 cup red wine vinegar,,
182,2 teaspoons white sugar,3125,teaspoon,white sugar,2,2 teaspoons white sugar,,
183,1 teaspoon salt,3125,teaspoon,salt,1,1 teaspoon salt,,
184,"½  avocado - peeled, pitted, and thinly sliced",3125,,,,"1/2  avocado - peeled, pitted, and thinly sliced",,
185,1 teaspoon lemon juice,3125,teaspoon,lemon juice,1,1 teaspoon lemon juice,,
186,"¼ cup sesame seeds, or as needed",3125,cup,sesame seeds,4-Jan,"1/4 cup sesame seeds, or as needed",,
187,"½  cucumber - peeled, seeded, and cut into matchsticks",3125,,,,"1/2  cucumber - peeled, seeded, and cut into matchsticks",,
188,"½  green bell pepper, seeded and cut into matchsticks",3125,,,,"1/2  green bell pepper, seeded and cut into matchsticks",,
189,"½  zucchini, cut into matchsticks",3125,,,,"1/2  zucchini, cut into matchsticks",,
190,"1 cup confectioners' sugar, sifted",2922,cup,confectioners' sugar,1,"1 cup confectioners' sugar, sifted",,
191,1 ½ teaspoons coconut milk,2922,,,,1 1/2 teaspoons coconut milk,,
192,½ teaspoon raspberry juice,2922,teaspoon,raspberry juice,2-Jan,1/2 teaspoon raspberry juice,,
193,16  sugar cookies,2922,,,,16  sugar cookies,,
194,2 pounds new potatoes,174,pound,potatoes,2,2 pounds new potatoes,,
195,2 tablespoons water,174,tablespoon,water,2,2 tablespoons water,,
196,"1  onion, minced",174,,,,"1  onion, minced",,
197,2 tablespoons olive oil,174,tablespoon,olive oil,2,2 tablespoons olive oil,,
198,"1 pinch seasoned salt, or to taste",174,pinch,salt,1,"1 pinch seasoned salt, or to taste",,
199,"1 pinch paprika, or to taste",174,pinch,paprika,1,"1 pinch paprika, or to taste",,
200,2 tablespoons olive oil,1525,tablespoon,olive oil,2,2 tablespoons olive oil,,
201,"1 large onion, chopped",1525,,onion,1,"1 large onion, chopped",,
202,"2 stalks celery, chopped",1525,stalk,celery,2,"2 stalks celery, chopped",,
203,"3 cloves garlic, minced",1525,clove,garlic,3,"3 cloves garlic, minced",,
204,2 teaspoons ground cumin,1525,teaspoon,cumin,2,2 teaspoons ground cumin,,
205,4 cups vegetable broth,1525,cup,vegetable broth,4,4 cups vegetable broth,,
206,2 cups water,1525,cup,water,2,2 cups water,,
207,"1 ¼ cups lentils, picked over and rinsed",1525,,,,"1 1/4 cups lentils, picked over and rinsed",,
208,"1  small eggplant, diced",1525,,,,"1  small eggplant, diced",,
209,"2 medium zucchini, diced",1525,,zucchini,2,"2 medium zucchini, diced",,
210,"1 medium tomato, chopped",1525,,tomato,1,"1 medium tomato, chopped",,
211,"lemon, zested and juiced",1525,,lemon,,"lemon, zested and juiced",,
212,salt and ground black pepper to taste,1525,,salt and black pepper,,salt and ground black pepper to taste,,
213,"2  sweet potatoes, peeled and cut into bite-size pieces",1105,,,,"2  sweet potatoes, peeled and cut into bite-size pieces",,
214,2 tablespoons extra virgin olive oil,1105,tablespoon,extra virgin olive oil,2,2 tablespoons extra virgin olive oil,,
215,1 cup broccoli florets,1105,cup,broccoli florets,1,1 cup broccoli florets,,
216,"1 (15 ounce) can lentils, drained and rinsed",1105,ounce,"can lentils, drained and rinsed",1,"1 (15 ounce) can lentils, drained and rinsed",,
217,1 tablespoon cumin,1105,tablespoon,cumin,1,1 tablespoon cumin,,
218,"1 ½ teaspoons cayenne pepper, or to taste",1105,,,,"1 1/2 teaspoons cayenne pepper, or to taste",,
219,1 teaspoon garlic salt,1105,teaspoon,garlic salt,1,1 teaspoon garlic salt,,
220,"2  tomatoes, chopped",1105,,,,"2  tomatoes, chopped",,
221,"6 tablespoons barbeque sauce, divided",1105,tablespoon,barbeque sauce,6,"6 tablespoons barbeque sauce, divided",,
222,6  whole wheat Lebanese-style pita bread rounds,1105,,,,6  whole wheat Lebanese-style pita bread rounds,,Bread
223,cooking spray,3085,,cooking spray,,cooking spray,,
224,"1  tomato, diced",3085,,,,"1  tomato, diced",,
225,1 pinch garlic pepper seasoning,3085,pinch,garlic pepper seasoning,1,1 pinch garlic pepper seasoning,,
226,"2 cups fresh mushrooms, sliced",3085,cup,mushrooms,2,"2 cups fresh mushrooms, sliced",,
227,"2  yellow squash, cubed",3085,,,,"2  yellow squash, cubed",,
228,"2  zucchini, cubed",3085,,,,"2  zucchini, cubed",,
229,4 ears fresh corn kernels,2231,ear,corn kernels,4,4 ears fresh corn kernels,,
230,"4  tomatoes, chopped",2231,,,,"4  tomatoes, chopped",,
231,"1  hot yellow banana pepper, chopped",2231,,,,"1  hot yellow banana pepper, chopped",,
232,"2 cloves garlic, minced",2231,clove,garlic,2,"2 cloves garlic, minced",,
233,1 cup chopped green bell pepper,2231,cup,green bell pepper,1,1 cup chopped green bell pepper,,
234,1 tablespoon chopped fresh basil,2231,tablespoon,basil,1,1 tablespoon chopped fresh basil,,
235,1 tablespoon chopped fresh sage,2231,tablespoon,sage,1,1 tablespoon chopped fresh sage,,
236,1 tablespoon chopped fresh thyme,2231,tablespoon,thyme,1,1 tablespoon chopped fresh thyme,,
237,"1  lemon, juiced",2231,,,,"1  lemon, juiced",,
238,2 teaspoons olive oil,2231,teaspoon,olive oil,2,2 teaspoons olive oil,,
239,1 tablespoon pareve margarine,1823,tablespoon,pareve margarine,1,1 tablespoon pareve margarine,,
240,¼ cup all-purpose flour,1823,cup,all-purpose flour,4-Jan,1/4 cup all-purpose flour,,
241,3 cups vegetable broth,1823,cup,vegetable broth,3,3 cups vegetable broth,,
242,2 tablespoons miso paste,1823,tablespoon,miso paste,2,2 tablespoons miso paste,,
243,2 tablespoons warm water,1823,tablespoon,water,2,2 tablespoons warm water,,
244,2 teaspoons soy sauce,1823,teaspoon,soy sauce,2,2 teaspoons soy sauce,,
245,¼ teaspoon onion powder,1823,teaspoon,onion powder,4-Jan,1/4 teaspoon onion powder,,
246,"6 cups vegetable stock, or more if needed",2837,cup,vegetable stock,6,"6 cups vegetable stock, or more if needed",,
247,"4 tablespoons olive oil, divided",2837,tablespoon,olive oil,4,"4 tablespoons olive oil, divided",,
248,"2 (8 ounce) packages baby bella mushrooms, chopped",2837,,(8 ounce) packages baby bella mushrooms,2,"2 (8 ounce) packages baby bella mushrooms, chopped",,
249,"1 medium onion, diced",2837,,onion,1,"1 medium onion, diced",,
250,"1  celery stalk, diced",2837,,,,"1  celery stalk, diced",,
251,"3 cloves garlic, minced",2837,clove,garlic,3,"3 cloves garlic, minced",,
252,2 cups Arborio rice,2837,cup,Arborio rice,2,2 cups Arborio rice,,
253,1 cup dry white wine,2837,cup,dry white wine,1,1 cup dry white wine,,
254,1 ½ teaspoons dried thyme,2837,,,,1 1/2 teaspoons dried thyme,,
255,"½ teaspoon salt, or to taste",2837,teaspoon,salt,2-Jan,"1/2 teaspoon salt, or to taste",,
256,"½ teaspoon freshly cracked black pepper, or to taste",2837,teaspoon,black pepper,2-Jan,"1/2 teaspoon freshly cracked black pepper, or to taste",,
257,2 tablespoons extra-virgin olive oil,3034,tablespoon,olive oil,2,2 tablespoons extra-virgin olive oil,,
258,"1  onion, chopped",3034,,,,"1  onion, chopped",,
259,"4 cloves garlic, minced",3034,clove,garlic,4,"4 cloves garlic, minced",,
260,"4  tomatoes, chopped",3034,,,,"4  tomatoes, chopped",,
261,"3 ½ cups cherry tomatoes, halved",3034,,,,"3 1/2 cups cherry tomatoes, halved",,
262,¾ cup vegetable broth,3034,cup,vegetable broth,4-Mar,3/4 cup vegetable broth,,
263,2  bay leaves,3034,,,,2  bay leaves,,
264,"2 sprigs fresh basil, divided",3034,sprig,basil,2,"2 sprigs fresh basil, divided",,
265,1 tablespoon vegetable oil,3234,tablespoon,vegetable oil,1,1 tablespoon vegetable oil,,
266,"1  onion, sliced",3234,,,,"1  onion, sliced",,
267,"2  tomatoes, chopped",3234,,,,"2  tomatoes, chopped",,
268,"2 pounds zucchini, peeled and cut into 1 inch thick slices",3234,pound,zucchini,2,"2 pounds zucchini, peeled and cut into 1 inch thick slices",,
269,"1  green bell pepper, chopped",3234,,,,"1  green bell pepper, chopped",,
270,salt to taste,3234,,salt,,salt to taste,,
271,ground black pepper to taste,3234,,black pepper,,ground black pepper to taste,,
272,¼ cup uncooked white rice,3234,cup,white rice,4-Jan,1/4 cup uncooked white rice,,
273,½ cup water,3234,cup,water,2-Jan,1/2 cup water,,
274,"1 tablespoon vegetable oil, or to taste",414,tablespoon,vegetable oil,1,"1 tablespoon vegetable oil, or to taste",,
275,"½  onion, chopped",414,,,,"1/2  onion, chopped",,
276,1 teaspoon minced ginger root,414,teaspoon,ginger root,1,1 teaspoon minced ginger root,,
277,"1  jalapeno pepper, minced",414,,,,"1  jalapeno pepper, minced",,
278,"1 (14.5 ounce) can diced tomatoes, drained",414,,tomatoes,1,"1 (14.5 ounce) can diced tomatoes, drained",,
279,1 teaspoon ground coriander,414,teaspoon,coriander,1,1 teaspoon ground coriander,,
280,1 teaspoon ground turmeric,414,teaspoon,turmeric,1,1 teaspoon ground turmeric,,
281,1 teaspoon curry powder,414,teaspoon,curry powder,1,1 teaspoon curry powder,,
282,½ teaspoon garam masala,414,teaspoon,garam masala,2-Jan,1/2 teaspoon garam masala,,
283,1 (14.5 ounce) can low-sodium vegetable broth,414,,(14.5 ounce) can low-sodium vegetable broth,1,1 (14.5 ounce) can low-sodium vegetable broth,,
284,2 cups cauliflower florets,414,cup,cauliflower florets,2,2 cups cauliflower florets,,
285,"1 (14 ounce) can chickpeas, drained and rinsed",414,,chickpeas,1,"1 (14 ounce) can chickpeas, drained and rinsed",,
