id,Store Section,cleanDescription
233,Produce,cup chop green bell pepper
234,Produce,tablespoon chop fresh basil
235,Produce,tablespoon chop fresh sage
236,Produce,tablespoon chop fresh thyme
237,Refrigerator,lemon juic
238,Oils,teaspoon oliv oil
239,Refrigerator,tablespoon parev margarin
240,Baking Goods,cup allpurpos flour
241,Dry Goods,cup veget broth
242,Dry Goods,tablespoon miso past
243,Household,tablespoon warm water
244,Dry Goods,teaspoon soy sauc
245,Dry Goods,teaspoon onion powder
246,Oils,cup veget stock need
247,Oils,tablespoon oliv oil divid
248,Dry Goods,ounc packag babi bella mushroom chop
249,Produce,medium onion dice
250,Produce,celeri stalk dice
251,Produce,clove garlic minc
252,Household,cup arborio rice
253,Baking Goods,cup dri white wine
254,Dry Goods,teaspoon dri thyme
255,Dry Goods,teaspoon salt tast
256,Dry Goods,teaspoon freshli crack black pepper tast
257,Oils,tablespoon extravirgin oliv oil
258,Produce,onion chop
259,Produce,clove garlic minc
260,Produce,tomato chop
261,Produce,cup cherri tomato halv
262,Dry Goods,cup veget broth
263,Produce,bay leav
264,Produce,sprig fresh basil divid
265,Oils,tablespoon veget oil
266,Produce,onion slice
267,Produce,tomato chop
268,Refrigerator,pound zucchini peel cut inch thick slice
269,Produce,green bell pepper chop
270,Dry Goods,salt tast
271,Dry Goods,ground black pepper tast
272,Dry Goods,cup uncook white rice
273,Household,cup water
274,Oils,tablespoon veget oil tast
275,Produce,onion chop
276,Produce,teaspoon minc ginger root
277,Produce,jalapeno pepper minc
278,Dry Goods,ounc dice tomato drain
279,Dry Goods,teaspoon ground coriand
280,Dry Goods,teaspoon ground turmer
281,Dry Goods,teaspoon curri powder
282,Dry Goods,teaspoon garam masala
283,Dry Goods,ounc lowsodium veget broth
284,Household,cup cauliflow floret
285,Dry Goods,ounc chickpea drain rins
286,Refrigerator,pound packag firm tofu drain
287,Oils,tablespoon peanut oil divid
288,Dry Goods,teaspoon sesam oil
289,Produce,green bell pepper chop
290,Produce,larg onion dice
291,Produce,carrot dice
292,Produce,bunch green onion slice thin
293,Produce,clove garlic minc
294,Refrigerator,cup natur unsalt peanut butter
295,Household,tablespoon water
296,Dry Goods,teaspoon sriracha sauc tast
297,Dry Goods,teaspoon soy sauc
298,Dry Goods,teaspoon salt tast
299,Dry Goods,teaspoon ground black pepper
300,Household,cup cauliflow floret
301,Household,cup broccoli floret
302,Dry Goods,pound fresh asparagu trim halv
303,Produce,medium carrot cut matchstick
304,Produce,medium red bell pepper cut matchstick
305,Produce,medium red onion slice separ ring
306,Oils,cup oliv oil
307,Refrigerator,tablespoon lemon juic
308,Produce,clove garlic minc
309,Produce,tablespoon dri rosemari crush
310,Dry Goods,teaspoon salt
311,Dry Goods,teaspoon ground black pepper
312,Produce,cup pecan halv
313,Household,cup roll oat
314,Baking Goods,cup whole wheat pastri flour
315,Dry Goods,teaspoon ground cinnamon
316,Dry Goods,pinch salt
317,Oils,cup veget oil
318,Dry Goods,tablespoon real mapl syrup
319,Refrigerator,cup soy milk
320,Dry Goods,cup arrowroot powder
321,Dry Goods,ounc pumpkin pure
322,Dry Goods,cup real mapl syrup
323,Produce,tablespoon grate fresh ginger
324,Dry Goods,teaspoon ground cinnamon
325,Dry Goods,teaspoon salt
326,Dry Goods,teaspoon freshli grate nutmeg
327,Dry Goods,teaspoon ground clove
328,Household,cup water
329,Dry Goods,cup hard red winter wheat berri
330,Produce,cup butternut squash cut inch cube
331,Oils,tablespoon extravirgin oliv oil divid
332,Refrigerator,tablespoon orang juic
333,Dry Goods,tablespoon pure mapl syrup
334,Refrigerator,larg orang zest
335,Produce,cup chop fresh parsley
336,Dry Goods,cup dri cranberri
337,Dry Goods,cup slice almond option
338,Oils,tablespoon peanut oil
339,Produce,small head broccoli chop
340,Produce,small red bell pepper chop
341,Produce,fresh mushroom slice
342,Refrigerator,pound firm tofu cube
343,Refrigerator,cup peanut butter
344,Household,cup hot water
345,Oils,tablespoon vinegar
346,Dry Goods,tablespoon soy sauc
347,Dry Goods,tablespoon molass
348,Dry Goods,ground cayenn pepper tast
349,Produce,larg cucumb peel dice
350,Refrigerator,cup vegan mayonnais follow heart veganais
351,Produce,stalk celeri dice
352,Refrigerator,lemon juic
353,Produce,cup minc fresh dill
354,Produce,tablespoon fresh garlic minc
355,Dry Goods,teaspoon pink himalayan salt
356,Dry Goods,teaspoon ground black pepper
357,Dry Goods,teaspoon dri dill weed
358,Dry Goods,cup almond milk
359,Dry Goods,cinnamon stick
360,Baking Goods,tablespoon coconut oil option
361,Dry Goods,ounc fullfat coconut milk
362,Household,cup raw honey
363,Household,cup spice rum
364,Dry Goods,teaspoon vanilla extract
365,Dry Goods,pound french green lentil rins drain
366,Dry Goods,ounc lowsodium corn drain
367,Dry Goods,ounc dark red kidney bean drain
368,Produce,bunch italian parsley chop
369,Oils,cup oliv oil
370,Oils,cup red wine vinegar
371,Baking Goods,tablespoon raw sugar
372,Dry Goods,salt ground black pepper tast
373,Produce,bunch carrot top
374,Dry Goods,tablespoon toast sesam seed
375,Oils,tablespoon rice vinegar
376,Dry Goods,tablespoon sesam oil
377,Dry Goods,teaspoon soy sauc
378,Baking Goods,teaspoon white sugar
379,Dry Goods,cup slice almond
380,Household,cup water
381,Household,tablespoon instant coffe need
382,Oils,teaspoon oil greas
383,Baking Goods,cup allpurpos flour
384,Baking Goods,cup white sugar
385,Dry Goods,teaspoon pumpkin pie spice
386,Baking Goods,teaspoon bake powder
387,Dry Goods,teaspoon salt
388,Dry Goods,teaspoon ground cinnamon
389,Dry Goods,teaspoon nutmeg
390,Dry Goods,teaspoon ground ginger
391,Oils,cup veget oil
392,Household,cup water
393,Dry Goods,tablespoon pumpkin pure
394,Dry Goods,teaspoon vanilla extract
395,Refrigerator,pound jerusalem artichok scrub slice inch thick
396,Produce,larg yukon gold potato dice
397,Produce,larg clove garlic
398,Oils,tablespoon oliv oil divid
399,Dry Goods,sea salt freshli ground black pepper tast
400,Refrigerator,ounc mushroom slice
401,Refrigerator,tablespoon vegan margarin
402,Produce,larg onion dice
403,Dry Goods,teaspoon sea salt
404,Household,cup water
405,Dry Goods,cup mushroom broth
406,Produce,tablespoon chop fresh sage
407,Refrigerator,cup soy milk option
408,Dry Goods,ounc kidney bean drain
409,Dry Goods,ounc wax bean drain
410,Dry Goods,ounc lima bean drain
411,Dry Goods,ounc green bean drain
412,Dry Goods,ounc garbanzo bean drain
413,Produce,sweet onion chop
414,Produce,green bell pepper chop
415,Produce,red bell pepper chop
416,Baking Goods,cup white sugar
417,Baking Goods,cup distil white vinegar
418,Oils,cup veget oil
419,Dry Goods,teaspoon dri dill weed
420,Dry Goods,teaspoon dri rosemari
421,Dry Goods,teaspoon dri basil
422,Dry Goods,salt tast
423,Household,cup water need
424,Dry Goods,cup uncook green lentil
425,Dry Goods,ounc tomato sauc
426,Dry Goods,ounc fireroast dice tomato
427,Produce,medium carrot dice
428,Produce,medium bell pepper dice
429,Produce,small onion dice
430,Produce,clove garlic minc
431,Dry Goods,tablespoon chili powder
432,Dry Goods,teaspoon vegan worcestershir sauc
433,Oils,teaspoon rice vinegar
434,Dry Goods,teaspoon ground cumin
435,Dry Goods,teaspoon yellow mustard
436,Dry Goods,teaspoon liquid smoke flavor
437,Dry Goods,teaspoon onion powder
438,Dry Goods,teaspoon smoke paprika
439,Dry Goods,teaspoon cayenn pepper
440,Dry Goods,salt ground black pepper tast
441,Produce,larg hamburg bun split
442,Refrigerator,larg orang
443,Dry Goods,pound cranberri
444,Produce,appl core dice peel
445,Baking Goods,cup white sugar
446,Dry Goods,pound fresh green bean trim
447,Dry Goods,teaspoon dri mustard powder coleman
448,Household,teaspoon cold water
449,Oils,tablespoon white vinegar
450,Dry Goods,tablespoon soy sauc
451,Dry Goods,tablespoon sesam oil
452,Dry Goods,tablespoon sesam seed
453,Baking Goods,teaspoon white sugar
454,Dry Goods,teaspoon salt
455,Dry Goods,cup cashew milk
456,Household,cup quickcook oat
457,Dry Goods,teaspoon unsweeten cocoa powder
458,Dry Goods,pinch salt
459,Dry Goods,pinch ground cinnamon
460,Dry Goods,teaspoon mapl syrup tast
461,Refrigerator,tablespoon vegan dark chocol chip
462,Produce,banana slice
463,Dry Goods,ounc packag dri kidney bean
464,Dry Goods,teaspoon salt divid
465,Dry Goods,ounc can tomato past
466,Baking Goods,cup brown sugar
467,Oils,tablespoon vinegar
468,Dry Goods,tablespoon cornmeal
469,Dry Goods,teaspoon ground cumin
470,Dry Goods,teaspoon hot paprika
471,Dry Goods,teaspoon ground ginger
472,Oils,tablespoon oliv oil
473,Dry Goods,teaspoon grill season montreal steak season
474,Produce,larg head cauliflow
475,Household,cup oldfashion roll oat
476,Refrigerator,cup soy milk
477,Dry Goods,cup can pumpkin pure
478,Dry Goods,dash ground cinnamon
479,Dry Goods,tablespoon chop walnut
480,Dry Goods,teaspoon avocado honey
481,Dry Goods,pound fresh green bean trim
482,Produce,shallot peel thinli slice
483,Produce,larg clove garlic thinli slice
484,Dry Goods,cup slice almond
485,Oils,tablespoon oliv oil need
486,Dry Goods,teaspoon kosher salt
487,Dry Goods,teaspoon freshli ground black pepper
488,Household,cup countri crock spread
489,Dry Goods,teaspoon
490,Dry Goods,teaspoon garlic powder
491,Bread,ounc loaf french italian bread
492,Baking Goods,butterflavor cook spray
493,Produce,medium appl peel dice
494,Household,cup oldfashion roll oat
495,Baking Goods,cup brown sugar
496,Dry Goods,teaspoon ground cinnamon
497,Dry Goods,teaspoon vanilla extract
498,Dry Goods,teaspoon pumpkin pie spice tast
499,Household,cup water
500,Dry Goods,quart sweet corn kernel
501,Produce,cup chop cabbag
502,Produce,cup chop onion
503,Produce,cup chop green bell pepper
504,Produce,cup chop red bell pepper
505,Baking Goods,cup white sugar
506,Dry Goods,tablespoon ground dri mustard
507,Dry Goods,tablespoon celeri seed
508,Dry Goods,tablespoon mustard seed
509,Dry Goods,tablespoon salt
510,Dry Goods,tablespoon ground turmer
511,Oils,quart appl cider vinegar
512,Household,cup water
513,Oils,tablespoon grapese oil
514,Produce,onion chop
515,Dry Goods,tablespoon curri powder
516,Produce,tablespoon minc fresh ginger root
517,Dry Goods,teaspoon cayenn pepper
518,Dry Goods,ounc packag frozen butternut squash
519,Dry Goods,cup coconut milk
520,Refrigerator,tablespoon peanut butter
521,Dry Goods,teaspoon salt tast
522,Dry Goods,teaspoon freshli ground black pepper tast
523,Produce,tablespoon chop fresh cilantro tast
524,Household,cup aquafaba chickpea water
525,Dry Goods,teaspoon rose water
526,Refrigerator,teaspoon lemon juic tast
527,Dry Goods,teaspoon cream tartar
528,Baking Goods,cup confection sugar
529,Oils,tablespoon oliv oil
530,Dry Goods,pound fresh mushroom
531,Dry Goods,teaspoon italian season
532,Baking Goods,cup dri white wine
533,Produce,clove garlic minc
534,Dry Goods,salt pepper tast
535,Produce,tablespoon chop fresh chive
536,Household,cup molass
537,Baking Goods,cup pack brown sugar
538,Oils,cup veget shorten
539,Household,cup cold water
540,Baking Goods,cup allpurpos flour
541,Baking Goods,teaspoon bake soda
542,Dry Goods,teaspoon ground cinnamon
543,Dry Goods,teaspoon ground clove
544,Dry Goods,teaspoon ground allspic
545,Dry Goods,teaspoon ground ginger
546,Dry Goods,teaspoon salt
547,Baking Goods,cook spray
548,Oils,tablespoon veget oil
549,Produce,small onion chop
550,Produce,clove garlic minc
551,Refrigerator,ounc packag tempeh cut cube
552,Dry Goods,teaspoon curri powder
553,Produce,cup slice fresh mushroom
554,Produce,tomato chop
555,Dry Goods,cup coconut milk
556,Dry Goods,teaspoon soy sauc
557,Dry Goods,teaspoon sweet paprika
558,Dry Goods,pinch chili powder
559,Household,cup water
560,Dry Goods,cup quinoa
561,Household,cup amaranth
562,Household,cup wild rice
563,Dry Goods,teaspoon ground cumin
564,Dry Goods,teaspoon salt
565,Produce,stalk celeri dice
566,Produce,larg carrot grate
567,Dry Goods,cup can chickpea garbanzo bean option
568,Household,cup raisin
569,Oils,tablespoon oliv oil
570,Produce,clove garlic minc
571,Dry Goods,salt ground black pepper tast
572,Oils,tablespoon oliv oil
573,Produce,onion dice
574,Produce,tablespoon minc garlic
575,Dry Goods,cup veget broth
576,Produce,medium red potato dice
577,Produce,cup chop babi carrot
578,Dry Goods,ounc can whole kernel corn drain
579,Refrigerator,cup soy milk
580,Dry Goods,tablespoon garlic powder
581,Dry Goods,teaspoon salt
582,Dry Goods,teaspoon ground black pepper
583,Baking Goods,cup allpurpos flour
584,Refrigerator,cup soy milk
585,Produce,tablespoon dri parsley
586,Oils,teaspoon oliv oil
587,Produce,head cauliflow chop small floret
588,Produce,carrot chop
589,Household,cup boil water
590,Oils,cube veget bouillon
591,Dry Goods,ounc reducedfat coconut milk
592,Dry Goods,cup red lentil
593,Dry Goods,teaspoon garlic powder
594,Dry Goods,teaspoon dri onion flake
595,Dry Goods,teaspoon curri powder
596,Dry Goods,teaspoon paprika
597,Dry Goods,teaspoon ground turmer
598,Dry Goods,teaspoon ground cumin
599,Produce,bunch kale leav stem inner rib discard leav coars chop
600,Oils,tablespoon veget oil
601,Produce,cup chop onion
602,Dry Goods,ounc can garbanzo bean drain
603,Dry Goods,tablespoon curri past
604,Produce,cup appl juic
605,Freezer,sheet frozen puff pastri thaw
606,Baking Goods,cup allpurpos flour dust
607,Dry Goods,pound chop appl
608,Dry Goods,cup mapl syrup
609,Dry Goods,teaspoon ground cinnamon
610,Household,tablespoon water
611,Dry Goods,tablespoon flax seed meal
612,Produce,banana
613,Refrigerator,cup sunflow seed butter
614,Baking Goods,tablespoon coconut flour
615,Dry Goods,teaspoon pure mapl syrup
616,Dry Goods,teaspoon vanilla extract
617,Oils,teaspoon appl cider vinegar
618,Baking Goods,teaspoon bake soda
619,Refrigerator,cup unsweeten cocoa
620,Baking Goods,cup white sugar
621,Household,cup water
622,Dry Goods,teaspoon vanilla extract
623,Oils,cup veget oil
624,Dry Goods,teaspoon mustard seed
625,Dry Goods,pinch asafoetida powder
626,Produce,medium onion thinli slice
627,Produce,clove garlic peel slice
628,Dry Goods,teaspoon cumin seed
629,Dry Goods,teaspoon ground turmer
630,Produce,larg tomato chop
631,Dry Goods,ounc packag frozen slice okra
632,Dry Goods,teaspoon chili powder
633,Dry Goods,teaspoon amchoor
634,Dry Goods,salt tast
635,Oils,tablespoon extravirgin oliv oil
636,Produce,red bell pepper fine chop
637,Produce,white onion fine chop
638,Produce,jalapeno pepper minc tast
639,Produce,clove garlic minc tast
640,Dry Goods,tablespoon ground cumin
641,Dry Goods,tablespoon chili powder
642,Dry Goods,teaspoon garlic salt
643,Dry Goods,dash adobo season sauc frontera chipotl pepper adobo option
644,Dry Goods,ounc soy chorizo trader joe
645,Dry Goods,ounc can tribean blend drain rins
646,Dry Goods,ounc fireroast dice tomato juic
647,Oils,ounc veget stock
648,Produce,sweet potato peel dice
649,Oils,tablespoon veget oil
650,Produce,yellow onion dice
651,Produce,clove garlic dice
652,Dry Goods,ounc soy chorizo
653,Dry Goods,ounc black bean
654,Dry Goods,ounc tomato sauc
655,Produce,tomato dice
656,Produce,ounc dice jalapeno pepper
657,Dry Goods,ounc dice green chili
658,Dry Goods,packag chicken taco season mix
659,Produce,bunch cilantro
660,Dry Goods,inch wheat soft taco shell
662,Baking Goods,medium sugar pumpkin
663,Baking Goods,cook spray
664,Baking Goods,cup allpurpos flour
665,Baking Goods,teaspoon bake powder
666,Dry Goods,teaspoon ground cinnamon option
667,Baking Goods,teaspoon bake soda
668,Oils,cup veget oil
669,Baking Goods,cup white sugar
670,Dry Goods,ounc contain soy yogurt
671,Dry Goods,ounc packag dri rice noodl
672,Oils,tablespoon oliv oil
673,Produce,head romain lettuc chop
674,Produce,red bell pepper dice
675,Produce,cup chop red onion
676,Produce,green onion chop
677,Produce,cucumb dice
678,Produce,tablespoon chop fresh basil tast
679,Produce,tablespoon chop fresh cilantro tast
680,Produce,inch piec fresh ginger root minc
681,Produce,jalapeno pepper seed minc
682,Produce,clove garlic minc
683,Oils,cup oliv oil
684,Oils,cup rice vinegar
685,Dry Goods,cup soy sauc
686,Baking Goods,cup white sugar
687,Refrigerator,lemon juic
688,Produce,lime juic
689,Dry Goods,teaspoon salt
690,Dry Goods,teaspoon ground turmer
691,Dry Goods,teaspoon paprika
692,Oils,cup appl cider vinegar
693,Dry Goods,teaspoon soy sauc
694,Baking Goods,tablespoon brown sugar
695,Dry Goods,teaspoon yellow mustard
696,Dry Goods,tablespoon paprika
697,Dry Goods,teaspoon salt
698,Oils,cup oliv oil
699,Dry Goods,pound potato scrub cube skin
700,Produce,pound appl core cut wedg
701,Oils,cup safflow oil
702,Dry Goods,tablespoon walnut oil
703,Oils,tablespoon oliv oil
704,Oils,tablespoon red wine vinegar
705,Refrigerator,tablespoon lemon juic
706,Produce,cup minc fresh dill weed
707,Dry Goods,salt pepper tast
708,Produce,tomato dice
709,Produce,stalk celeri chop
710,Produce,green onion chop
711,Produce,ounc red beet drain chop
712,Dry Goods,pit medjool date
713,Produce,frozen banana chop
714,Produce,cup coars chop carrot
715,Refrigerator,cup unsweeten vanillaflavor almond milk tast
716,Dry Goods,teaspoon ground cinnamon
717,Dry Goods,teaspoon ground ginger
718,Baking Goods,tablespoon flake coconut
719,Dry Goods,tablespoon goji berri
720,Produce,sweet potato slice
721,Refrigerator,cup orang juic
722,Household,cup raisin
723,Oils,tablespoon oliv oil
724,Household,cup couscou
725,Dry Goods,cup dri mung bean
726,Dry Goods,cup veget broth
727,Dry Goods,teaspoon salt divid
728,Produce,cucumb dice
729,Produce,tomato dice
730,Refrigerator,lemon juic
731,Produce,tablespoon chop cilantro
732,Dry Goods,teaspoon ground black pepper
733,Produce,red onion quarter divid
734,Dry Goods,green bird eye chile pepper stem
735,Household,cup water divid
736,Dry Goods,cup raw cashew
737,Produce,clove garlic
738,Dry Goods,tablespoon tomato past
739,Refrigerator,inch piec fresh ginger
740,Produce,whole clove
741,Produce,green cardamom pod
742,Dry Goods,black cardamom pod
743,Dry Goods,bay leaf
744,Dry Goods,teaspoon cumin seed
745,Dry Goods,teaspoon whole black peppercorn
746,Dry Goods,teaspoon ground coriand
747,Refrigerator,inch cinnamon stick
748,Oils,cup light veget oil
749,Produce,ounc cauliflow cut larg piec
750,Produce,ounc broccoli cut larg piec
751,Refrigerator,tomato cut larg chunk
752,Dry Goods,cup can chickpea garbanzo bean drain liquid reserv
753,Produce,carrot slice
754,Produce,red bird eye chile pepper chop
755,Dry Goods,tablespoon garam masala
756,Dry Goods,teaspoon ground turmer
757,Dry Goods,teaspoon chili powder
758,Produce,cup babi spinach leav
759,Dry Goods,cup fullfat coconut milk
760,Refrigerator,cup vegan yogurt
761,Dry Goods,ounc roast cashew chop
762,Produce,cup chop fresh cilantro
763,Dry Goods,cup dri chickpea garbanzo bean
764,Oils,tablespoon veget oil
765,Produce,onion chop
766,Produce,clove garlic minc
767,Produce,pod green cardamom
768,Dry Goods,dri red chile pepper stem seed
769,Dry Goods,teaspoon coriand seed
770,Dry Goods,teaspoon ground turmer
771,Dry Goods,teaspoon black mustard seed
772,Dry Goods,tablespoon tomato past tast
773,Produce,larg butternut squash peel cut inch cube
774,Produce,carrot chop
775,Household,cup water need
776,Produce,bunch fresh cilantro chop
777,Dry Goods,pound babi red potato
778,Produce,medium yellow onion dice
779,Produce,medium bell pepper dice
780,Oils,tablespoon oliv oil
781,Dry Goods,teaspoon garlic powder
782,Dry Goods,teaspoon salt tast
783,Dry Goods,teaspoon ground black pepper tast
784,Refrigerator,cup peanut butter
785,Dry Goods,cup yacon syrup
786,Baking Goods,cup coconut flour
787,Refrigerator,cup vegan chocol chip
788,Dry Goods,poblano pepper
789,Produce,clove garlic peel
790,Produce,ripe tomato
791,Produce,cup chop fresh cilantro
792,Dry Goods,teaspoon ground cumin
793,Dry Goods,teaspoon chili powder
794,Produce,tablespoon lime juic
795,Dry Goods,ounc packag frozen shell edamam green soybean
796,Produce,clove garlic
797,Household,cup tahini
798,Household,cup water
799,Produce,cup pack cilantro leav
800,Refrigerator,cup lemon juic
801,Oils,tablespoon extravirgin oliv oil
802,Dry Goods,teaspoon kosher salt
803,Dry Goods,teaspoon ground cumin
804,Dry Goods,teaspoon cayenn pepper
805,Produce,larg zucchini
806,Dry Goods,teaspoon salt
807,Oils,tablespoon extravirgin oliv oil
808,Produce,larg basil leav
809,Produce,inch piec ginger root peel slice
810,Produce,lime juic
811,Refrigerator,cup vegan margarin
812,Refrigerator,cup peanut butter
813,Baking Goods,cup confection sugar
814,Baking Goods,cup confection sugar
815,Dry Goods,teaspoon matcha green tea powder
816,Dry Goods,tablespoon almond milk
817,Produce,onion peel quarter
818,Household,cup water need
819,Oils,teaspoon sunflow seed oil
820,Baking Goods,teaspoon allpurpos flour
821,Baking Goods,teaspoon white wine vinegar
822,Dry Goods,teaspoon sea salt
823,Dry Goods,cup dri moong dal
824,Oils,tablespoon oliv oil
825,Dry Goods,tablespoon ground turmer
826,Dry Goods,tablespoon cumin seed
827,Produce,cup chop kale
828,Dry Goods,pinch chili powder option
829,Dry Goods,salt tast
830,Household,cup water
831,Dry Goods,tablespoon dark soy sauc
832,Dry Goods,tablespoon ketchup
833,Produce,tablespoon pomegran molass
834,Dry Goods,tablespoon honey
835,Oils,tablespoon sunflow seed oil
836,Dry Goods,teaspoon smooth mustard
837,Produce,clove garlic minc
838,Dry Goods,teaspoon sea salt
839,Dry Goods,teaspoon coars ground black pepper
840,Dry Goods,teaspoon ground paprika
841,Oils,tablespoon veget oil
842,Produce,eggplant cube
843,Produce,bunch spring onion minc
844,Produce,clove garlic minc
845,Produce,red bell pepper seed cut strip
846,Dry Goods,teaspoon curri powder
847,Dry Goods,cup coconut milk
848,Dry Goods,salt ground black pepper tast
849,Produce,bunch fresh mint minc
850,Produce,cup slice cucumb
851,Produce,cup slice onion
852,Produce,cup slice green bell pepper
853,Dry Goods,tablespoon salt
854,Dry Goods,tablespoon celeri seed
855,Baking Goods,cup distil white vinegar
856,Baking Goods,cup white sugar
857,Household,tablespoon oil need
858,Produce,onion chop
859,Dry Goods,teaspoon madra curri powder tast
860,Dry Goods,chile pepper seed chop tast
861,Dry Goods,ounc coconut milk
862,Produce,butternut squash peel cube
863,Produce,small ounc potato scrub halv tast
864,Dry Goods,teaspoon ground cumin
865,Dry Goods,teaspoon ground coriand
866,Dry Goods,teaspoon ground turmer
867,Dry Goods,teaspoon cayenn pepper
868,Dry Goods,teaspoon ground cinnamon
869,Dry Goods,salt ground black pepper tast
870,Oils,tablespoon extra virgin oliv oil
871,Produce,yellow onion dice
872,Produce,clove garlic crush
873,Produce,tablespoon chop fresh thyme
874,Produce,cup mash sweet potato
875,Dry Goods,cup cook quinoa
876,Dry Goods,sea salt tast
877,Dry Goods,freshli crack black pepper tast
878,Household,tablespoon coconut oil need
879,Dry Goods,cup sunflow seed
880,Baking Goods,cup whole wheat flour
881,Dry Goods,cup nutrit yeast
882,Dry Goods,teaspoon salt
883,Oils,cup veget oil
884,Refrigerator,tablespoon lemon juic
885,Produce,potato peel chop
886,Produce,larg carrot peel slice
887,Produce,onion chop
888,Produce,stalk celeri chop
889,Produce,clove garlic peel
890,Household,cup water
891,Dry Goods,teaspoon dri thyme
892,Dry Goods,teaspoon dri basil leav
893,Dry Goods,teaspoon dri sage
894,Dry Goods,teaspoon dri savori
895,Dry Goods,teaspoon ground black pepper
896,Dry Goods,teaspoon ground dri mustard
897,Produce,eggplant
898,Refrigerator,cup lemon juic
899,Household,cup tahini
900,Dry Goods,tablespoon sesam seed
901,Produce,clove garlic minc
902,Dry Goods,salt pepper tast
903,Oils,tablespoon oliv oil
904,Household,cup tahini
905,Oils,tablespoon rice vinegar
906,Dry Goods,tablespoon soy sauc
907,Oils,tablespoon oliv oil
908,Dry Goods,teaspoon chilegarl sauc sriracha
909,Dry Goods,teaspoon ground turmer
910,Household,tablespoon water need
911,Dry Goods,ounc packet aram seawe
912,Dry Goods,ounc packag dri soba noodl
913,Oils,tablespoon oliv oil
914,Produce,clove garlic minc
915,Produce,tablespoon minc fresh ginger tast
916,Produce,bunch kale torn bites piec
917,Household,cup raisin
918,Refrigerator,cup mandarin orang
919,Household,cup pit prune
920,Baking Goods,cup white sugar
921,Household,water cover
922,Refrigerator,ounc slice peach chop
923,Refrigerator,ounc pineappl chunk
924,Household,cup brandi
925,Baking Goods,cup allpurpos flour
926,Baking Goods,cup white sugar
927,Dry Goods,teaspoon salt
928,Baking Goods,teaspoon bake powder
929,Baking Goods,teaspoon bake soda
930,Baking Goods,cup brown sugar
931,Baking Goods,cup quick cook oat
932,Refrigerator,cup vegan chocol chip
933,Dry Goods,teaspoon vanilla extract
934,Oils,cup veget oil
935,Dry Goods,ounc dri wakam seawe
936,Oils,cup rice vinegar
937,Produce,green onion thinli slice
938,Dry Goods,tablespoon soy sauc tast
939,Dry Goods,tablespoon sesam oil
940,Dry Goods,tablespoon asian sweet chili sauc tast
941,Produce,clove garlic minc
942,Produce,teaspoon grate fresh ginger tast
943,Dry Goods,packet stevia powder option
944,Dry Goods,tablespoon toast sesam seed option
945,Baking Goods,pound glutenfre brown rice noodl
946,Dry Goods,tablespoon sesam oil divid
947,Refrigerator,ounc packag extrafirm tofu
948,Household,teaspoon grapese oil divid need
949,Refrigerator,cup natur peanut butter
950,Dry Goods,tablespoon wheatfre tamari
951,Oils,tablespoon rice wine vinegar
952,Dry Goods,tablespoon agav nectar tast
953,Produce,clove garlic
954,Household,tablespoon hot water
955,Produce,tablespoon minc ginger
956,Produce,teaspoon red pepper flake
957,Produce,cup thinli slice red cabbag
958,Produce,cup thinli slice green cabbag
959,Produce,cucumb cut matchstick
